Intensity Luminance0 Luminance1
0.7301587301587301 95.138378 95.138378
1.0 206.43175100000002 206.43175100000002
0.4126984126984127 19.843949000000002 19.843949000000002
0.07936507936507936 0.0 0.0
0.25396825396825395 0.21034 0.21034
0.4444444444444444 24.866160999999998 24.866160999999998
0.7777777777777777 109.98514899999998 109.98514899999998
0.7142857142857142 89.875131 89.875131
0.49206349206349204 33.573878 33.573878
0.20634920634920634 0.0 0.0
0.5714285714285714 50.339683 50.339683
0.031746031746031744 0.0 0.0
0.9365079365079365 169.59970099999998 169.59970099999998
0.6190476190476191 61.776565 61.776565
0.047619047619047616 0.0 0.0
0.5238095238095237 39.594688999999995 39.594688999999995
0.1111111111111111 0.0 0.0
0.8571428571428571 138.112208 138.112208
0.7936507936507936 115.039051 115.039051
0.23809523809523808 0.0 0.0
0.2698412698412698 1.4842349999999997 1.4842349999999997
0.9206349206349206 163.082288 163.082288
0.6031746031746031 57.392227999999996 57.392227999999996
0.5079365079365079 36.294864999999994 36.294864999999994
0.6349206349206349 65.601911 65.601911
0.1746031746031746 0.0 0.0
0.8253968253968254 126.19967299999999 126.19967299999999
0.5396825396825397 42.694039000000004 42.694039000000004
0.7619047619047619 103.86510299999999 103.86510299999999
0.9841269841269841 195.15642599999998 195.15642599999998
0.6666666666666666 75.24928299999999 75.24928299999999
0.015873015873015872 0.0 0.0
0.746031746031746 98.77363 98.77363
0.3968253968253968 16.806438 16.806438
0.31746031746031744 6.2258640000000005 6.2258640000000005
0.3492063492063492 10.366473 10.366473
0.4603174603174603 27.059203000000004 27.059203000000004
0.6507936507936507 69.41238699999998 69.41238699999998
0.14285714285714285 0.0 0.0
0.36507936507936506 12.261859999999999 12.261859999999999
0.873015873015873 143.289811 143.289811
0.6825396825396826 79.03373 79.03373
0.0 0.0 0.0
0.42857142857142855 21.481013 21.481013
0.47619047619047616 29.87267 29.87267
0.09523809523809523 0.0 0.0
0.8095238095238095 119.384569 119.384569
0.2857142857142857 2.7337040000000004 2.7337040000000004
0.3333333333333333 8.392796 8.392796
0.9047619047619047 155.79647599999998 155.79647599999998
0.6984126984126984 83.644957 83.644957
0.15873015873015872 0.0 0.0
0.5555555555555556 45.664919 45.664919
0.06349206349206349 0.0 0.0
0.38095238095238093 14.227931 14.227931
0.30158730158730157 4.330468 4.330468
0.9682539682539681 183.37261400000003 183.37261400000003
0.8888888888888888 149.11143199999998 149.11143199999998
0.9523809523809523 175.266615 175.266615
0.19047619047619047 0.0 0.0
0.8412698412698412 130.446002 130.446002
0.5873015873015872 52.795673 52.795673
0.12698412698412698 0.0 0.0
0.2222222222222222 0.0 0.0
